nn  1  3     0.0    0.0    1.0  181.5  598.8  0.000 0.565E-05 0.831E-03 0.684E-05 0.668E-03 1.2108 0.501E-05 0.606E-05

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
