nn  3  7     0.0    0.0    1.0  994.5  186.9  0.000 0.133E-05 0.826E-03 0.162E-05 0.677E-03 1.2173 0.148E-05 0.180E-05

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
