nn  3  7     0.0    0.0    1.0  994.5  166.2  0.000 0.130E-05 0.839E-03 0.158E-05 0.689E-03 1.2156 0.148E-05 0.180E-05

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
