nn  4  4     0.0    0.0    1.0  663.8  663.8  0.000 0.104E-05 0.807E-03 0.119E-05 0.436E-01 1.1458 0.296E-06 0.340E-06

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
