nn  4  8     0.0    0.0    1.0  663.8  663.7  0.000 0.249E-02 0.798E-03 0.327E-02 0.613E-03 1.3126 0.257E-02 0.337E-02

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
