nn  3  5     0.0    0.0    1.0  697.5  165.6  0.000 0.374E-04 0.757E-03 0.446E-04 0.621E-03 1.1913 0.405E-04 0.482E-04

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
