nn  4  7     0.0    0.0    1.0  664.1  223.0  0.000 0.424E-04 0.955E-03 0.511E-04 0.808E-03 1.2051 0.680E-04 0.820E-04

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
