100.0 1.3420e+00 -2.1% 1.2% 1.6257e+00 -1.30% 1.34% -3.3% 3.3% 1.6112e+00 -0.6% 0.0% -3.3% 3.4%
150.0 2.7180e-01 -1.6% 1.2% 3.2213e-01 -1.53% 2.04% -3.8% 3.9% 3.1902e-01 -0.5% 0.3% -3.8% 3.9%
200.0 8.5937e-02 -3.3% 3.4% 1.0085e-01 -1.82% 2.36% -4.4% 4.5% 9.9785e-02 -0.4% 0.4% -4.3% 4.7%
250.0 3.3837e-02 -4.6% 4.9% 3.9541e-02 -2.10% 2.45% -4.9% 5.1% 3.9144e-02 -0.4% 0.3% -5.0% 5.1%
300.0 1.5201e-02 -5.6% 6.2% 1.7736e-02 -2.29% 2.50% -5.4% 5.7% 1.7548e-02 -0.2% 0.1% -5.3% 5.8%
350.0 7.4623e-03 -6.4% 7.2% 8.7118e-03 -2.54% 2.53% -5.8% 6.3% 8.6202e-03 -0.2% 0.0% -5.9% 6.2%
400.0 3.9034e-03 -7.1% 8.1% 4.5655e-03 -2.78% 2.52% -6.3% 6.9% 4.5215e-03 -0.3% 0.0% -6.6% 6.8%
450.0 2.1414e-03 -7.7% 8.8% 2.5107e-03 -2.98% 2.52% -6.7% 7.5% 2.4857e-03 -0.5% 0.0% -6.8% 7.6%
500.0 1.2189e-03 -8.2% 9.5% 1.4329e-03 -3.13% 2.61% -7.1% 8.0% 1.4203e-03 -1.1% 0.0% -7.4% 8.0%
550.0 7.1449e-04 -8.7% 10.2% 8.4234e-04 -3.26% 2.74% -7.6% 8.5% 8.3592e-04 -1.0% 0.0% -8.0% 8.1%
600.0 4.2894e-04 -9.1% 10.8% 5.0737e-04 -3.40% 2.84% -8.0% 9.1% 5.0172e-04 -1.0% 0.4% -7.9% 9.4%
650.0 2.6264e-04 -9.5% 11.3% 3.1180e-04 -3.53% 2.95% -8.5% 9.6% 3.0840e-04 -1.1% 0.5% -8.4% 9.9%
700.0 1.6350e-04 -9.9% 11.8% 1.9485e-04 -3.67% 3.07% -9.0% 10.2% 1.9300e-04 -1.2% 0.2% -9.4% 9.7%
750.0 1.0322e-04 -10.3% 12.3% 1.2349e-04 -3.80% 3.19% -9.5% 10.8% 1.2217e-04 -1.5% 0.6% -9.8% 10.5%
800.0 6.5952e-05 -10.6% 12.8% 7.9222e-05 -3.93% 3.30% -10.0% 11.4% 7.8074e-05 -1.1% 1.0% -10.0% 12.2%
850.0 4.2575e-05 -10.9% 13.2% 5.1354e-05 -4.06% 3.42% -10.5% 12.1% 5.0657e-05 -1.3% 1.3% -10.8% 11.4%
900.0 2.7729e-05 -11.2% 13.6% 3.3589e-05 -4.19% 3.53% -11.0% 13.0% 3.2976e-05 -1.3% 2.0% -10.9% 13.7%
950.0 1.8198e-05 -11.5% 14.0% 2.2140e-05 -4.32% 3.65% -11.6% 13.9% 2.1751e-05 -1.9% 1.8% -11.8% 15.2%
1000.0 1.2022e-05 -11.8% 14.4% 1.4691e-05 -4.45% 3.76% -12.2% 14.9% 1.4504e-05 -1.7% 2.3% -12.2% 15.3%
1050.0 7.9866e-06 -12.1% 14.8% 9.8039e-06 -4.58% 3.87% -12.9% 16.1% 9.6824e-06 -1.6% 0.9% -12.7% 17.3%
1100.0 5.3311e-06 -12.4% 15.2% 6.5747e-06 -4.71% 3.98% -13.6% 17.3% 6.5650e-06 -2.6% 1.2% -17.2% 17.5%
1150.0 3.5725e-06 -12.6% 15.5% 4.4271e-06 -4.86% 4.09% -14.4% 18.5% 4.4218e-06 -1.2% 1.5% -15.7% 21.2%
1200.0 2.4017e-06 -12.9% 15.9% 2.9907e-06 -5.00% 4.22% -15.3% 19.9% 3.0018e-06 -2.5% 1.7% -16.0% 20.8%
1250.0 1.6186e-06 -13.2% 16.3% 2.0256e-06 -5.14% 4.35% -16.2% 21.4% 2.0418e-06 -2.3% 1.9% -16.9% 24.3%
1300.0 1.0929e-06 -13.4% 16.7% 1.3746e-06 -5.28% 4.47% -17.3% 22.9% 1.4411e-06 -5.5% 0.6% -32.4% 12.8%
1350.0 7.3875e-07 -13.7% 17.0% 9.3410e-07 -5.43% 4.60% -18.3% 24.6% 9.3086e-07 -3.1% 2.5% -18.4% 31.2%
1400.0 4.9967e-07 -13.9% 17.4% 6.3520e-07 -5.58% 4.73% -19.5% 26.3% 6.3606e-07 -5.3% 2.2% -20.4% 29.8%
1450.0 3.3797e-07 -14.2% 17.8% 4.3201e-07 -5.74% 4.86% -20.7% 28.2% 4.4320e-07 -3.0% 6.1% -26.1% 30.3%
1500.0 2.2847e-07 -14.4% 18.1% 2.9369e-07 -5.90% 4.99% -21.9% 30.2% 2.9905e-07 -2.5% 4.2% -23.5% 35.6%
