100.0 2.6742e+00 -6.1% 4.8% 3.6129e+00 -0.60% 0.18% -3.0% 3.2% 3.5847e+00 -1.2% 0.0% -3.0% 3.2%
150.0 6.0047e-01 -2.4% 1.6% 8.0054e-01 -1.18% 1.09% -3.1% 3.2% 7.9402e-01 -0.6% 0.0% -3.1% 3.2%
200.0 2.1047e-01 -0.4% 0.0% 2.7692e-01 -1.33% 1.57% -3.3% 3.4% 2.7452e-01 -0.6% 0.1% -3.3% 3.4%
250.0 9.1933e-02 -1.8% 1.5% 1.1950e-01 -1.41% 1.86% -3.5% 3.6% 1.1848e-01 -0.5% 0.2% -3.5% 3.6%
300.0 4.5941e-02 -2.9% 2.8% 5.9071e-02 -1.60% 2.05% -3.7% 3.8% 5.8555e-02 -0.5% 0.3% -3.7% 3.8%
350.0 2.5144e-02 -3.7% 3.8% 3.1991e-02 -1.73% 2.19% -3.9% 4.0% 3.1699e-02 -0.4% 0.6% -3.9% 4.0%
400.0 1.4688e-02 -4.5% 4.7% 1.8514e-02 -1.88% 2.22% -4.1% 4.2% 1.8343e-02 -0.4% 0.4% -4.1% 4.3%
450.0 9.0133e-03 -5.1% 5.5% 1.1258e-02 -1.99% 2.25% -4.2% 4.4% 1.1155e-02 -0.3% 0.3% -4.3% 4.4%
500.0 5.7474e-03 -5.6% 6.2% 7.1178e-03 -2.11% 2.28% -4.3% 4.7% 7.0526e-03 -0.3% 0.3% -4.4% 4.7%
550.0 3.7793e-03 -6.1% 6.8% 4.6437e-03 -2.26% 2.30% -4.5% 5.0% 4.5974e-03 -0.2% 0.2% -4.3% 5.1%
600.0 2.5483e-03 -6.6% 7.4% 3.1079e-03 -2.41% 2.30% -4.6% 5.2% 3.0790e-03 -0.2% 0.0% -4.6% 5.2%
650.0 1.7544e-03 -7.0% 7.9% 2.1247e-03 -2.55% 2.28% -4.7% 5.5% 2.1033e-03 -0.2% 0.1% -4.7% 5.7%
700.0 1.2292e-03 -7.4% 8.4% 1.4786e-03 -2.67% 2.27% -4.8% 5.9% 1.4654e-03 -0.2% 0.0% -4.8% 5.9%
750.0 8.7416e-04 -7.7% 8.9% 1.0445e-03 -2.77% 2.29% -4.9% 6.2% 1.0353e-03 -0.4% 0.0% -4.9% 6.2%
800.0 6.2972e-04 -8.1% 9.4% 7.4755e-04 -2.85% 2.34% -5.0% 6.6% 7.4019e-04 -0.7% 0.0% -4.9% 6.6%
850.0 4.5871e-04 -8.4% 9.8% 5.4112e-04 -2.93% 2.41% -5.1% 6.9% 5.3586e-04 -0.5% 0.0% -5.2% 7.3%
900.0 3.3741e-04 -8.7% 10.2% 3.9563e-04 -3.00% 2.48% -5.3% 7.3% 3.9193e-04 -0.8% 0.1% -5.5% 7.0%
950.0 2.5032e-04 -9.0% 10.5% 2.9184e-04 -3.08% 2.53% -5.4% 7.8% 2.8910e-04 -0.7% 0.3% -5.8% 7.4%
1000.0 1.8713e-04 -9.3% 10.9% 2.1696e-04 -3.15% 2.59% -5.6% 8.2% 2.1521e-04 -1.1% 0.4% -5.7% 8.2%
1050.0 1.4084e-04 -9.5% 11.3% 1.6242e-04 -3.23% 2.65% -5.8% 8.6% 1.6107e-04 -1.4% 0.5% -5.9% 8.8%
1100.0 1.0664e-04 -9.8% 11.6% 1.2235e-04 -3.31% 2.73% -6.0% 9.1% 1.2140e-04 -1.1% 0.4% -6.1% 9.4%
1150.0 8.1190e-05 -10.0% 11.9% 9.2680e-05 -3.39% 2.80% -6.2% 9.6% 9.1837e-05 -1.0% 0.6% -6.2% 9.7%
1200.0 6.2115e-05 -10.2% 12.2% 7.0558e-05 -3.46% 2.88% -6.5% 10.1% 6.9989e-05 -1.1% 0.5% -6.7% 10.3%
1250.0 4.7731e-05 -10.5% 12.5% 5.3960e-05 -3.54% 2.95% -6.8% 10.6% 5.3555e-05 -1.3% 0.5% -7.2% 10.6%

