100.0 1.2441e+00 -2.1% 1.2% 1.6752e+00 -1.36% 1.43% -3.3% 3.5% 1.6603e+00 -0.7% 0.0% -3.4% 3.5%
150.0 2.5647e-01 -1.8% 1.4% 3.3654e-01 -1.58% 2.14% -3.7% 3.8% 3.3329e-01 -0.5% 0.4% -3.7% 3.8%
200.0 8.2821e-02 -3.7% 3.7% 1.0640e-01 -1.91% 2.47% -4.0% 4.1% 1.0531e-01 -0.5% 0.6% -4.1% 4.1%
250.0 3.3294e-02 -5.0% 5.4% 4.2021e-02 -2.18% 2.54% -4.3% 4.5% 4.1586e-02 -0.4% 0.4% -4.3% 4.5%
300.0 1.5260e-02 -6.1% 6.7% 1.8954e-02 -2.39% 2.60% -4.5% 4.9% 1.8750e-02 -0.2% 0.2% -4.5% 4.9%
350.0 7.6331e-03 -6.9% 7.9% 9.3503e-03 -2.67% 2.61% -4.7% 5.4% 9.2468e-03 -0.3% 0.0% -4.7% 5.5%
400.0 4.0633e-03 -7.7% 8.9% 4.9149e-03 -2.92% 2.59% -4.9% 5.9% 4.8690e-03 -0.2% 0.0% -5.2% 5.7%
450.0 2.2652e-03 -8.4% 9.7% 2.7076e-03 -3.12% 2.63% -5.0% 6.5% 2.6811e-03 -0.8% 0.0% -5.1% 6.5%
500.0 1.3086e-03 -9.0% 10.5% 1.5465e-03 -3.27% 2.75% -5.3% 7.1% 1.5299e-03 -0.9% 0.1% -5.4% 7.0%
550.0 7.7741e-04 -9.5% 11.2% 9.0917e-04 -3.42% 2.86% -5.5% 7.8% 9.0063e-04 -0.7% 0.2% -5.9% 6.9%
600.0 4.7239e-04 -10.0% 11.9% 5.4712e-04 -3.57% 2.96% -5.8% 8.6% 5.4244e-04 -1.6% 0.4% -6.1% 8.6%
650.0 2.9239e-04 -10.5% 12.6% 3.3557e-04 -3.72% 3.09% -6.2% 9.4% 3.3244e-04 -1.3% 0.5% -6.3% 9.4%
700.0 1.8377e-04 -10.9% 13.1% 2.0907e-04 -3.87% 3.23% -6.7% 10.2% 2.0730e-04 -1.3% 0.4% -7.0% 10.6%
750.0 1.1698e-04 -11.3% 13.7% 1.3199e-04 -4.01% 3.37% -7.2% 11.1% 1.3079e-04 -1.6% 0.7% -7.5% 11.1%
800.0 7.5274e-05 -11.7% 14.3% 8.4250e-05 -4.15% 3.50% -7.8% 12.1% 8.3412e-05 -1.3% 0.8% -7.6% 12.6%
850.0 4.8877e-05 -12.0% 14.8% 5.4287e-05 -4.30% 3.63% -8.4% 13.1% 5.3754e-05 -1.8% 1.0% -8.7% 13.2%
900.0 3.1982e-05 -12.4% 15.3% 3.5261e-05 -4.45% 3.77% -9.2% 14.3% 3.4826e-05 -2.0% 1.1% -9.3% 13.6%
950.0 2.1062e-05 -12.7% 15.8% 2.3056e-05 -4.60% 3.91% -9.9% 15.5% 2.2762e-05 -2.4% 2.1% -9.7% 15.5%
