100.0 2.6248e+00 -5.2% 4.1% 3.2295e+00 -0.71% 0.30% -2.9% 2.9% 3.2040e+00 -1.1% 0.0% -2.9% 2.9%
150.0 5.8252e-01 -1.9% 1.1% 6.9892e-01 -1.20% 1.17% -3.1% 3.1% 6.9308e-01 -0.6% 0.0% -3.1% 3.1%
200.0 2.0077e-01 -0.7% 0.2% 2.3727e-01 -1.32% 1.61% -3.4% 3.5% 2.3518e-01 -0.5% 0.2% -3.4% 3.5%
250.0 8.6023e-02 -2.0% 1.7% 1.0075e-01 -1.42% 1.91% -3.7% 3.9% 9.9860e-02 -0.4% 0.2% -3.7% 3.9%
300.0 4.2115e-02 -3.0% 3.0% 4.9061e-02 -1.59% 2.07% -4.1% 4.2% 4.8622e-02 -0.4% 0.3% -4.1% 4.2%
350.0 2.2568e-02 -3.8% 4.0% 2.6206e-02 -1.77% 2.17% -4.5% 4.6% 2.5966e-02 -0.4% 0.4% -4.5% 4.6%
400.0 1.2907e-02 -4.5% 4.8% 1.4960e-02 -1.92% 2.19% -4.8% 5.0% 1.4824e-02 -0.3% 0.3% -4.8% 5.1%
450.0 7.7534e-03 -5.1% 5.5% 8.9782e-03 -2.02% 2.23% -5.1% 5.4% 8.8967e-03 -0.3% 0.1% -5.1% 5.4%
500.0 4.8407e-03 -5.6% 6.2% 5.6046e-03 -2.15% 2.26% -5.4% 5.8% 5.5507e-03 -0.2% 0.0% -5.3% 5.9%
550.0 3.1172e-03 -6.0% 6.7% 3.6112e-03 -2.30% 2.26% -5.7% 6.2% 3.5773e-03 -0.2% 0.0% -5.7% 6.1%
600.0 2.0588e-03 -6.5% 7.3% 2.3876e-03 -2.44% 2.26% -6.0% 6.5% 2.3634e-03 -0.2% 0.0% -5.9% 6.7%
650.0 1.3888e-03 -6.8% 7.8% 1.6127e-03 -2.57% 2.24% -6.2% 6.9% 1.5979e-03 -0.3% 0.0% -6.3% 7.0%
700.0 9.5366e-04 -7.2% 8.2% 1.1091e-03 -2.69% 2.25% -6.5% 7.2% 1.0989e-03 -0.4% 0.0% -6.5% 7.3%
750.0 6.6492e-04 -7.5% 8.6% 7.7449e-04 -2.79% 2.28% -6.8% 7.6% 7.6808e-04 -0.7% 0.0% -6.9% 7.5%
800.0 4.6973e-04 -7.8% 9.0% 5.4800e-04 -2.87% 2.35% -7.0% 7.9% 5.4341e-04 -1.0% 0.2% -7.1% 8.0%
850.0 3.3567e-04 -8.1% 9.4% 3.9226e-04 -2.94% 2.42% -7.3% 8.2% 3.8905e-04 -0.6% 0.1% -7.3% 8.3%
900.0 2.4230e-04 -8.4% 9.8% 2.8367e-04 -3.01% 2.49% -7.6% 8.6% 2.8110e-04 -0.4% 0.2% -7.3% 9.0%
950.0 1.7646e-04 -8.7% 10.1% 2.0702e-04 -3.09% 2.54% -7.9% 8.9% 2.0544e-04 -1.1% 0.2% -8.1% 8.5%
1000.0 1.2953e-04 -8.9% 10.4% 1.5229e-04 -3.17% 2.60% -8.1% 9.2% 1.5082e-04 -1.0% 0.4% -8.1% 9.4%
1050.0 9.5763e-05 -9.1% 10.7% 1.1284e-04 -3.25% 2.67% -8.4% 9.6% 1.1175e-04 -1.0% 0.5% -8.4% 9.8%
1100.0 7.1248e-05 -9.4% 11.0% 8.4144e-05 -3.33% 2.74% -8.7% 9.9% 8.3415e-05 -0.5% 0.3% -8.9% 9.7%
1150.0 5.3313e-05 -9.6% 11.3% 6.3110e-05 -3.40% 2.81% -9.0% 10.3% 6.2435e-05 -1.3% 0.5% -9.0% 10.4%
1200.0 4.0101e-05 -9.8% 11.6% 4.7583e-05 -3.48% 2.88% -9.3% 10.7% 4.7143e-05 -1.3% 0.5% -9.7% 10.3%
1250.0 3.0306e-05 -10.0% 11.9% 3.6047e-05 -3.55% 2.94% -9.7% 11.0% 3.5643e-05 -1.1% 0.7% -9.8% 11.2%
1300.0 2.3003e-05 -10.2% 12.1% 2.7427e-05 -3.62% 3.01% -10.0% 11.4% 2.7125e-05 -1.1% 0.4% -10.7% 11.4%
1350.0 1.7528e-05 -10.4% 12.4% 2.0951e-05 -3.70% 3.08% -10.3% 11.9% 2.0689e-05 -1.3% 0.8% -10.6% 12.1%
1400.0 1.3403e-05 -10.6% 12.6% 1.6062e-05 -3.77% 3.15% -10.6% 12.4% 1.5869e-05 -1.5% 0.9% -11.0% 12.1%
1450.0 1.0283e-05 -10.7% 12.9% 1.2355e-05 -3.85% 3.21% -11.0% 13.0% 1.2200e-05 -1.3% 1.0% -11.6% 12.3%

