nn  4  8     0.0    0.0    1.0  663.5  663.5  0.000 0.251E-02 0.798E-03 0.329E-02 0.614E-03 1.3118 0.258E-02 0.338E-02

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
