nn  1  4     0.0    0.0    1.0  156.9  873.2  0.000 0.437E-05 0.907E-03 0.540E-05 0.651E-03 1.2346 0.237E-05 0.292E-05

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
